Date,location,actual_volume,best_forecast,selected_model,forecast_error,absolute_error
2026-03-18,3,2984.0,2987.1060807173994,Holiday SARIMA,3.1060807173994363,3.1060807173994363
2026-03-19,3,2713.0,2995.4615019933776,Holiday SARIMA,282.4615019933776,282.4615019933776
2026-03-20,3,2194.0,2784.1478388116398,Holiday SARIMA,590.1478388116398,590.1478388116398
2026-03-21,3,0.0,68.11945488874092,Holiday SARIMA,68.11945488874092,68.11945488874092
2026-03-22,3,0.0,89.6051020150512,Holiday SARIMA,89.6051020150512,89.6051020150512
2026-03-23,3,2409.0,2603.973091681958,Holiday SARIMA,194.97309168195807,194.97309168195807
2026-03-24,3,3188.0,3069.977345570977,Holiday SARIMA,-118.02265442902308,118.02265442902308
2026-03-25,3,3138.0,2977.829835607783,Holiday SARIMA,-160.17016439221698,160.17016439221698
2026-03-26,3,3234.0,2986.943241534149,Holiday SARIMA,-247.0567584658511,247.0567584658511
2026-03-27,3,2470.0,2776.325626225208,Holiday SARIMA,306.325626225208,306.325626225208
2026-03-28,3,0.0,60.93641440293012,Holiday SARIMA,60.93641440293012,60.93641440293012
2026-03-29,3,0.0,83.00900531597935,Holiday SARIMA,83.00900531597935,83.00900531597935
2026-03-30,3,2551.0,2597.9159781588683,Holiday SARIMA,46.915978158868256,46.915978158868256
2026-03-31,3,3003.0,3064.415173591788,Holiday SARIMA,61.41517359178806,61.41517359178806
2026-04-01,3,3434.0,2972.722162289768,Holiday SARIMA,-461.2778377102318,461.2778377102318
2026-04-02,3,2785.0,2982.252928681333,Holiday SARIMA,197.25292868133283,197.25292868133283
2026-04-03,3,0.0,173.67857066377974,Holiday SARIMA,173.67857066377974,173.67857066377974
2026-04-04,3,0.0,56.98129853459631,Holiday SARIMA,56.98129853459631,56.98129853459631
2026-03-08,4,40.0,0.5872678708790108,Holiday SARIMA,-39.41273212912099,39.41273212912099
2026-03-09,4,644.0,438.0198352117269,Holiday SARIMA,-205.9801647882731,205.9801647882731
2026-03-10,4,611.0,510.7340868413872,Holiday SARIMA,-100.26591315861282,100.26591315861282
2026-03-11,4,544.0,533.8550042791834,Holiday SARIMA,-10.14499572081661,10.14499572081661
2026-03-12,4,205.0,478.7250875944735,Holiday SARIMA,273.7250875944735,273.7250875944735
2026-03-13,4,597.0,457.6324150615649,Holiday SARIMA,-139.36758493843507,139.36758493843507
2026-03-14,4,297.0,72.66996107152212,Holiday SARIMA,-224.33003892847788,224.33003892847788
2026-03-15,4,0.0,9.08522748883898,Holiday SARIMA,9.08522748883898,9.08522748883898
2026-03-16,4,313.0,446.178538012818,Holiday SARIMA,133.17853801281802,133.17853801281802
2026-03-17,4,580.0,518.5670766870736,Holiday SARIMA,-61.43292331292639,61.43292331292639
2026-03-18,4,556.0,541.3752843308627,Holiday SARIMA,-14.624715669137345,14.624715669137345
2026-03-19,4,457.0,485.9451418993862,Holiday SARIMA,28.945141899386215,28.945141899386215
2026-03-20,4,452.0,464.56422927694746,Holiday SARIMA,12.564229276947458,12.564229276947458
2026-03-21,4,230.0,79.32504236140733,Holiday SARIMA,-150.67495763859267,150.67495763859267
2026-03-22,4,0.0,15.474623626533337,Holiday SARIMA,15.474623626533337,15.474623626533337
2026-03-23,4,417.0,452.3128557207671,Holiday SARIMA,35.31285572076712,35.31285572076712
2026-03-24,4,551.0,524.4564992445606,Holiday SARIMA,-26.543500755439368,26.543500755439368
2026-03-25,4,551.0,547.0295884787699,Holiday SARIMA,-3.970411521230062,3.970411521230062
2026-03-26,4,242.0,491.37371407008186,Holiday SARIMA,249.37371407008186,249.37371407008186
2026-03-27,4,557.0,469.7760811762405,Holiday SARIMA,-87.2239188237595,87.2239188237595
2026-03-28,4,90.0,84.32882592843754,Holiday SARIMA,-5.6711740715624614,5.6711740715624614
2026-03-29,4,0.0,20.278645396430136,Holiday SARIMA,20.278645396430136,20.278645396430136
2026-03-30,4,570.0,456.9250906139201,Holiday SARIMA,-113.07490938607992,113.07490938607992
2026-03-31,4,280.0,528.884603805393,Holiday SARIMA,248.884603805393,248.884603805393
2026-04-01,4,626.0,551.2809135859915,Holiday SARIMA,-74.71908641400853,74.71908641400853
